displ,fuelType,VClass,engId
5.7,Premium,Two Seaters,4104
3.0,Premium,Two Seaters,38030
3.0,Premium,Two Seaters,38031
8.0,Premium,Two Seaters,2625
3.4,Premium,Two Seaters,22021
3.4,Premium,Two Seaters,22020
4.9,Premium,Two Seaters,22015
1.5,Regular,Two Seaters,26007
1.6,Regular,Two Seaters,26011
1.6,Premium,Two Seaters,26015
4.0,Premium,Two Seaters,30593
2.2,Premium,Two Seaters,35001
1.8,Regular,Two Seaters,56045
1.6,Diesel,Special Purpose Vehicles,24680
1.3,Premium,Two Seaters,56010
3.2,Premium,Two Seaters,20035
5.0,Premium,Two Seaters,20060
6.0,Premium,Two Seaters,20070
3.6,Regular,Two Seaters,42020
3.0,Regular,Two Seaters,42040
2.0,Premium,Two Seaters,57005
2.2,Regular,Two Seaters,57015
2.8,Premium,Minicompact Cars,64012
1.8,Premium,Minicompact Cars,12037
2.5,Premium,Minicompact Cars,12043
1.6,Regular,Minicompact Cars,3051
1.6,Regular,Minicompact Cars,3040
2.5,Regular,Special Purpose Vehicle 2WD,1811
1.6,Regular,Minicompact Cars,3050
3.2,Premium,Minicompact Cars,20030
3.6,Regular,Minicompact Cars,42020
3.6,Premium,Minicompact Cars,42030
5.4,Premium,Minicompact Cars,42050
5.4,Regular,Minicompact Cars,42050
3.0,Regular,Minicompact Cars,42040
1.5,Regular,Minicompact Cars,57002
3.0,Premium,Minicompact Cars,57009
3.0,Premium,Minicompact Cars,57008
1.8,Premium,Subcompact Cars,26025
1.8,Regular,Subcompact Cars,26021
2.8,Premium,Subcompact Cars,64010
2.5,Regular,Special Purpose Vehicle 2WD,1812
1.8,Premium,Subcompact Cars,12036
1.8,Premium,Subcompact Cars,12037
2.5,Premium,Subcompact Cars,12043
5.0,Regular,Subcompact Cars,12080
5.6,Premium,Subcompact Cars,12081
3.4,Regular,Subcompact Cars,4420
3.4,Regular,Subcompact Cars,4421
5.7,Premium,Subcompact Cars,4105
5.7,Premium,Subcompact Cars,4104
2.2,Regular,Subcompact Cars,4407
2.2,Regular,Subcompact Cars,4410
3.1,Regular,Subcompact Cars,4504
1.0,Regular,Subcompact Cars,54003
3.0,Regular,Subcompact Cars,2510
1.6,Regular,Subcompact Cars,38001
1.6,Premium,Subcompact Cars,49020
2.8,Regular,Special Purpose Vehicle 2WD,1821
2.0,Regular,Subcompact Cars,38010
3.0,Premium,Subcompact Cars,38030
1.8,Regular,Subcompact Cars,49011
3.0,Regular,Subcompact Cars,49051
3.0,Regular,Subcompact Cars,49050
3.0,Premium,Subcompact Cars,49052
1.8,Regular,Subcompact Cars,19611
2.0,Premium,Subcompact Cars,19624
2.0,Premium,Subcompact Cars,19623
2.0,Regular,Subcompact Cars,19622
3.4,Premium,Subcompact Cars,22026
1.3,Regular,Subcompact Cars,3070
1.3,Regular,Subcompact Cars,3071
3.8,Regular,Subcompact Cars,3351
3.8,Regular,Subcompact Cars,3352
5.0,Regular,Subcompact Cars,3401
